trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
367,20:05:00,20:20:00,6,2,,0,0,
368,20:05:00,20:30:00,6,1,,0,0,
368,20:35:00,20:45:00,5,2,,0,0,
369,20:35:00,20:45:00,5,1,,0,0,
369,20:50:00,21:10:00,6,2,,0,0,
37,06:25:00,06:30:00,3,1,,0,0,
37,06:35:00,06:40:00,4,2,,0,0,
370,20:50:00,21:10:00,6,1,,0,0,
370,21:14:00,21:15:00,5,2,,0,0,
371,21:15:00,21:15:00,5,1,,0,0,
371,21:20:00,22:00:00,6,2,,0,0,
372,21:20:00,22:00:00,6,1,,0,0,
372,22:05:00,22:10:00,5,2,,0,0,
373,22:05:00,22:10:00,5,1,,0,0,
373,22:15:00,22:25:00,6,2,,0,0,
374,22:15:00,22:25:00,6,1,,0,0,
374,22:30:00,22:45:00,5,2,,0,0,
375,22:30:00,22:45:00,5,1,,0,0,
375,22:50:00,23:00:00,6,2,,0,0,
376,22:50:00,23:00:00,6,1,,0,0,
376,23:05:00,23:05:00,5,2,,0,0,
38,06:35:00,06:40:00,4,1,,0,0,
38,06:45:00,07:10:00,3,2,,0,0,
5,04:55:00,05:00:00,3,1,,0,0,
5,05:05:00,05:10:00,4,2,,0,0,
506,06:45:00,07:10:00,3,1,,0,0,
506,07:15:00,07:20:00,4,2,,0,0,
507,07:15:00,07:20:00,4,1,,0,0,
507,07:25:00,07:40:00,3,2,,0,0,
508,07:55:00,08:00:00,3,1,,0,0,
508,08:04:00,08:05:00,4,2,,0,0,
509,08:04:00,08:05:00,4,1,,0,0,
509,08:09:00,08:10:00,3,2,,0,0,
510,12:15:00,12:30:00,3,1,,0,0,
510,12:35:00,13:15:00,4,2,,0,0,
511,21:05:00,21:30:00,4,1,,0,0,
511,21:35:00,22:00:00,3,2,,0,0,
512,22:05:00,22:20:00,4,1,,0,0,
512,22:25:00,22:45:00,3,2,,0,0,
513,22:25:00,22:45:00,3,1,,0,0,
513,22:50:00,23:00:00,4,2,,0,0,
514,22:50:00,23:00:00,4,1,,0,0,
514,23:05:00,23:05:00,3,2,,0,0,
515,05:15:00,05:20:00,3,1,,0,0,
515,05:25:00,05:45:00,4,2,,0,0,
516,07:05:00,07:15:00,4,1,,0,0,
516,07:20:00,07:40:00,3,2,,0,0,
6,05:05:00,05:10:00,4,1,,0,0,
6,05:15:00,05:30:00,3,2,,0,0,
7,05:25:00,05:45:00,4,1,,0,0,
7,05:50:00,06:00:00,3,2,,0,0,
79,17:25:00,17:30:00,2,1,,0,0,
79,17:35:00,17:45:00,1,2,,0,0,
8,06:25:00,07:00:00,3,1,,0,0,
8,07:05:00,07:15:00,4,2,,0,0,
80,17:55:00,18:00:00,2,1,,0,0,
80,18:05:00,18:15:00,1,2,,0,0,
81,18:25:00,18:30:00,2,1,,0,0,
81,18:35:00,18:45:00,1,2,,0,0,
82,18:55:00,19:00:00,2,1,,0,0,
82,19:05:00,19:15:00,1,2,,0,0,
83,19:25:00,19:30:00,2,1,,0,0,
83,19:35:00,19:45:00,1,2,,0,0,
84,19:55:00,20:00:00,2,1,,0,0,
84,20:05:00,20:15:00,1,2,,0,0,
85,20:25:00,20:30:00,2,1,,0,0,
85,20:35:00,20:45:00,1,2,,0,0,
86,20:55:00,21:00:00,2,1,,0,0,
86,21:05:00,21:15:00,1,2,,0,0,
87,07:05:00,07:15:00,1,1,,0,0,
87,07:20:00,07:30:00,2,2,,0,0,
88,07:35:00,07:45:00,1,1,,0,0,
88,07:50:00,08:00:00,2,2,,0,0,
89,08:05:00,08:15:00,1,1,,0,0,
89,08:20:00,08:30:00,2,2,,0,0,
9,04:55:00,05:00:00,5,1,,0,0,
9,05:05:00,05:10:00,6,2,,0,0,
90,08:35:00,08:45:00,1,1,,0,0,
90,08:50:00,09:00:00,2,2,,0,0,
91,09:05:00,09:15:00,1,1,,0,0,
91,09:20:00,09:30:00,2,2,,0,0,
92,09:35:00,09:45:00,1,1,,0,0,
92,09:50:00,10:00:00,2,2,,0,0,
93,10:05:00,10:15:00,1,1,,0,0,
93,10:20:00,10:30:00,2,2,,0,0,
94,10:35:00,10:45:00,1,1,,0,0,
94,10:50:00,11:00:00,2,2,,0,0,
95,11:05:00,11:15:00,1,1,,0,0,
95,11:20:00,11:30:00,2,2,,0,0,
96,11:35:00,11:45:00,1,1,,0,0,
96,11:50:00,12:00:00,2,2,,0,0,
97,12:05:00,12:15:00,1,1,,0,0,
97,12:20:00,12:30:00,2,2,,0,0,
98,12:35:00,12:45:00,1,1,,0,0,
98,12:50:00,13:00:00,2,2,,0,0,
99,13:35:00,13:45:00,1,1,,0,0,
99,13:50:00,14:00:00,2,2,,0,0,
